Reference,Library,DeviceSet,Device,Value
ZU4,SmartPrj,ATMEGA328P-,PU,
ICSP,SmartPrj,PINHD-2X3,,3x2 M
P+1,supply1,+5V,,
GND1,supply1,GND,,
P+2,supply1,+5V,,
P+3,supply1,+5V,,
GND2,supply1,GND,,
GND3,supply1,GND,,
IOL,SmartPrj,PINHD-1X8,,8x1F-H8.5
IOH,SmartPrj,PINHD-1X10_ARD,,10x1F-H8.5
AD,SmartPrj,PINHD-1X6,,6x1F-H8.5
GND5,supply1,GND,,
P+4,supply1,+5V,,
C2,SmartPrj,C-EU,0603-RND,100n
GND7,supply1,GND,,
PC1,rcl,CPOL-EU,D,47u
PC2,rcl,CPOL-EU,D,47u
GND9,supply1,GND,,
GND10,supply1,GND,,
GND12,supply1,GND,,
GND19,supply1,GND,,
ON,led,LED,CHIP-LED0805,GREEN
GND14,supply1,GND,,
P+5,supply1,+5V,,
RX,led,LED,CHIP-LED0805,YELLOW
TX,led,LED,CHIP-LED0805,YELLOW
D1,diode,DIODE-,SMB,M7
X1,SmartPrj,POWERSUPPLY_DC21MM,X,
FD1,SmartPrj,FIDUCIALMOUNT,,
FD2,SmartPrj,FIDUCIALMOUNT,,
FD3,SmartPrj,FIDUCIALMOUNT,,
X2,SmartPrj,PN61729,,USB-B_TH
GND11,supply1,GND,,
U1,linear,MC33269ST*,,NCP1117ST50T3G
C4,SmartPrj,C-EU,0603-RND,100n
GND13,supply1,GND,,
F1,rcl,L-EU,L1812,MF-MSMF050-2 500mA
P+6,supply1,+5V,,
P+7,supply1,+5V,,
C7,SmartPrj,C-EU,0603-RND,100n
GND16,supply1,GND,,
L,led,LED,CHIP-LED0805,YELLOW
GND17,supply1,GND,,
T1,zetex,PMOSSOT23,,FDN340P
P+8,supply1,+5V,,
GND20,supply1,GND,,
GND18,supply1,GND,,
P+9,supply1,+5V,,
C1,SmartPrj,C-EU,0603-RND,100n
P+10,supply1,+5V,,
U3,SmartPrj,ATMEGA16U2-,MU,ATMEGA16U2-MU(R)
GND21,supply1,GND,,
C5,SmartPrj,C-EU,0603-RND,100n
ICSP1,SmartPrj,PINHD-2X3,,3x2 M
P+11,supply1,+5V,,
GND22,supply1,GND,,
GND23,supply1,GND,,
Z1,varistor,VARISTOR,CN0603,CG0603MLC-05E
Z2,varistor,VARISTOR,CN0603,CG0603MLC-05E
GROUND,jumper,SJ,,
L1,wuerth-elektronik,WE-CBF,_0805,BLM21
RESET-EN,jumper,SJ,,
R2,SmartPrj,R-EU_,R0603,1M
RN2,resistor-dil,4R-N,CAY16,1K
GND4,supply1,GND,,
RN1,resistor-dil,4R-N,CAY16,10K
C6,SmartPrj,C-EU,0603-RND,100n
C8,SmartPrj,C-EU,0603-RND,1u
RN4,resistor-dil,4R-N,CAY16,1K
RN3,resistor-dil,4R-N,CAY16,22R
C3,SmartPrj,C-EU,0603-RND,1u
R1,SmartPrj,R-EU_,R0603,1M
C9,SmartPrj,C-EU,0603-RND,22p
C11,SmartPrj,C-EU,0603-RND,22p
GND8,supply1,GND,,
JP2,SmartPrj,PINHD-2X2,,2x2 M - NM
GND15,supply1,GND,,
U5,linear,LMV358?*,MM,LMV358IDGKR
RESET,SmartPrj,TS42,,TS42031-160R-TR-7260
Y2,SmartPrj,RESONATOR,MU,CSTCE16M0V53-R0 16MHZ
U2,SmartPrj,LP2985-XXDBVR,,LP2985-33DBVR
POWER,SmartPrj,PINHD-1X8,,8x1F-H8.5
D2,diode,DIODE-,MINIMELF,CD1206-S01575
D3,diode,DIODE-,MINIMELF,CD1206-S01575
Y1,SmartPrj,XTAL/S,,16MHz
ORIGIN,SmartPrj,TP_SP,,
GND_TP,SmartPrj,TP_SP,,
GND6,supply1,GND,,
TP_PWRIN,SmartPrj,TP_SP,,
TP_VIN,SmartPrj,TP_SP,,
TP_5V,SmartPrj,TP_SP,,
TP_3V3,SmartPrj,TP_SP,,
TP_RESET,SmartPrj,TP_SP,,
TP_A0,SmartPrj,TP_SP,,
TP_A1,SmartPrj,TP_SP,,
TP_A2,SmartPrj,TP_SP,,
TP_A3,SmartPrj,TP_SP,,
TP_A4,SmartPrj,TP_SP,,
TP_A5,SmartPrj,TP_SP,,
TP_0,SmartPrj,TP_SP,,
TP_1,SmartPrj,TP_SP,,
TP_2,SmartPrj,TP_SP,,
TP_3,SmartPrj,TP_SP,,
TP_4,SmartPrj,TP_SP,,
TP_5,SmartPrj,TP_SP,,
TP_6,SmartPrj,TP_SP,,
TP_7,SmartPrj,TP_SP,,
TP_8,SmartPrj,TP_SP,,
TP_9,SmartPrj,TP_SP,,
TP_10,SmartPrj,TP_SP,,
TP_11,SmartPrj,TP_SP,,
TP_12,SmartPrj,TP_SP,,
TP_13,SmartPrj,TP_SP,,
TP_AREF,SmartPrj,TP_SP,,
TP_SDA,SmartPrj,TP_SP,,
TP_SCL,SmartPrj,TP_SP,,
TP_XT1,SmartPrj,TP_SP,,
TP_XT2,SmartPrj,TP_SP,,
TP_ONL,SmartPrj,TP_SP,,
TP_RX,SmartPrj,TP_SP,,
TP_TX,SmartPrj,TP_SP,,
TP_TXL,SmartPrj,TP_SP,,
TP_RXL,SmartPrj,TP_SP,,
TP_DTR,SmartPrj,TP_SP,,
TP_USBVCC,SmartPrj,TP_SP,,
TP_VUCAP,SmartPrj,TP_SP,,
TP_XT3,SmartPrj,TP_SP,,
TP_XT4,SmartPrj,TP_SP,,
TP_PB4,SmartPrj,TP_SP,,
TP_PB5,SmartPrj,TP_SP,,
TP_PB6,SmartPrj,TP_SP,,
TP_PB7,SmartPrj,TP_SP,,
TP_MISO2,SmartPrj,TP_SP,,
TP_RESET2,SmartPrj,TP_SP,,
TP_MOSI2,SmartPrj,TP_SP,,
TP_SCK2,SmartPrj,TP_SP,,
TP_XUSB,SmartPrj,TP_SP,,
TP_D-,SmartPrj,TP_SP,,
TP_D+,SmartPrj,TP_SP,,
TP_USH,SmartPrj,TP_SP,,
TP_UGND,SmartPrj,TP_SP,,
TP_GATE,SmartPrj,TP_SP,,
TP_LCMD,SmartPrj,TP_SP,,
TP_LL,SmartPrj,TP_SP,,
TP_CMP,SmartPrj,TP_SP,,
GND_TP1,SmartPrj,TP_SP,,
TP_5V1,SmartPrj,TP_SP,,
L2,Induttanze,0715_CV201210-100K,,10uH
P+12,supply1,+5V,,
C10,SmartPrj,C-EU,0603-RND,100n
